n,merge,thresholds_t5,thresholds_t10,thresholds_t20,thresholds_t30,thresholds_t50
12100,3,2,2,1,1,1
12200,3,2,2,1,1,1
12300,3,2,2,1,1,1
12400,3,2,2,1,1,1
12500,3,2,2,1,1,1
12600,3,2,2,1,1,1
12700,3,2,2,1,1,1
12800,3,2,2,1,1,1
12900,3,2,2,1,1,1
13000,3,2,2,2,1,1
13100,3,2,2,2,1,1
13200,3,2,2,2,1,1
13300,3,2,2,2,1,1
13400,3,2,2,2,1,1
13500,4,2,2,2,1,1
13600,4,2,2,2,1,1
13700,4,2,2,2,1,1
13800,4,2,2,2,1,1
13900,4,2,2,2,1,1
14000,4,2,2,2,1,1
14100,4,2,2,2,1,1
14200,4,2,2,2,1,1
14300,4,2,2,2,1,1
14400,4,2,2,2,1,1
14500,4,2,2,2,1,1
14600,4,2,2,2,1,1
14700,4,3,2,2,1,1
14800,4,3,2,2,1,1
14900,4,3,2,2,2,2
15000,4,3,2,2,2,2
15100,4,3,2,2,2,2
15200,4,3,2,2,2,2
15300,4,3,2,2,2,2
15400,4,3,2,2,2,2
15500,4,3,2,2,2,2
15600,4,3,2,2,2,2
15700,4,3,2,2,2,2
15800,4,3,2,2,2,2
15900,4,3,2,2,2,2
16000,4,3,2,2,2,2
16100,4,3,2,2,2,2
16200,4,3,2,2,2,2
16300,4,3,2,2,2,2
16400,4,3,2,2,2,2
16500,4,3,2,2,2,2
16600,5,3,2,2,2,2
16700,5,3,2,2,2,2
16800,5,3,2,2,2,2
16900,5,3,2,2,2,2
17000,5,3,2,2,2,2
17100,5,3,2,2,2,2
17200,5,3,3,2,2,2
17300,5,3,3,2,2,2
17400,5,3,3,2,2,2
17500,5,3,3,2,2,2
17600,5,3,3,2,2,2
17700,5,3,3,2,2,2
17800,5,3,3,2,2,2
17900,5,3,3,2,2,2
18000,5,3,3,2,2,2
18100,5,3,3,2,2,2
18200,5,3,3,2,2,2
18300,5,3,3,2,2,2
18400,5,3,3,2,2,2
18500,5,3,3,2,2,2
18600,5,3,3,2,2,2
18700,5,3,3,2,2,2
18800,5,3,3,2,2,2
18900,5,3,3,2,2,2
19000,5,3,3,2,2,2
19100,5,3,3,2,2,2
19200,5,3,3,2,2,2
19300,5,3,3,2,2,2
19400,5,3,3,2,2,2
19500,6,3,3,2,2,2
19600,6,3,3,2,2,2
19700,6,3,3,2,2,2
19800,6,3,3,2,3,2
19900,6,3,3,3,2,2
20000,6,3,3,3,3,2
20100,6,3,3,3,3,2
20200,6,4,3,3,3,2
20300,6,4,3,3,3,2
20400,6,4,3,3,3,2
20500,6,4,3,3,3,2
20600,6,4,3,3,3,2
20700,6,4,3,3,3,2
20800,6,4,3,3,3,2
20900,6,4,3,3,3,2
21000,6,4,3,3,3,2
21100,6,4,3,3,3,2
21200,6,4,3,3,3,2
21300,6,4,3,3,3,2
21400,6,4,3,3,3,2
21500,6,4,3,3,3,2
21600,6,4,4,3,3,2
21700,6,4,4,3,3,2
21800,6,4,4,3,3,2
21900,6,4,4,3,3,2
22000,6,4,4,3,3,2
22100,6,4,4,3,3,2
22200,6,4,4,3,3,2
22300,6,4,4,3,3,2
22400,6,4,4,3,3,2
22500,6,4,4,3,3,3
22600,7,4,4,3,3,3
22700,7,4,4,3,3,3
22800,7,4,4,3,3,3
22900,7,4,4,3,3,3
23000,7,4,4,3,3,3
23100,7,5,4,3,3,3
23200,7,5,4,3,3,3
23300,7,5,4,3,3,3
23400,7,5,4,3,3,3
23500,7,5,4,4,3,3
23600,7,5,4,4,3,3
23700,7,5,4,4,3,3
23800,7,5,4,4,3,3
23900,7,5,4,4,3,3
24000,7,5,4,4,3,3
24100,7,5,4,4,3,3
24200,7,5,4,4,3,3
24300,7,5,4,4,3,3
24400,7,5,4,4,3,3
24500,7,5,4,4,3,3
24600,7,5,4,4,3,3
24700,7,5,4,4,3,3
24800,7,5,4,4,3,3
24900,7,5,4,4,3,3
25000,7,5,4,4,3,3
25100,7,5,4,4,3,3
25200,7,5,4,4,3,3
25300,7,5,4,4,3,3
25400,7,5,4,4,3,3
25500,7,5,4,4,3,3
25600,7,5,4,4,3,3
25700,8,5,5,4,3,3
25800,8,5,4,4,3,3
25900,8,5,5,4,3,3
26000,8,5,5,4,3,3
26100,8,5,5,4,3,3
26200,8,5,5,4,3,3
26300,8,5,5,4,3,3
26400,8,5,5,4,3,3
26500,8,5,5,4,3,3
26600,8,5,5,4,3,3
26700,8,5,5,4,3,3
26800,8,5,5,4,4,4
26900,8,5,5,4,4,4
27000,8,6,5,4,4,4
27100,8,6,5,4,4,4
27200,8,6,5,4,4,4
27300,8,6,5,4,4,4
27400,8,6,5,4,4,4
27500,8,6,5,4,4,4
27600,8,6,5,4,4,4
27700,8,6,5,4,4,4
27800,8,6,5,4,4,4
27900,8,6,5,4,4,4
28000,8,6,5,4,4,4
28100,8,6,5,4,4,4
28200,8,6,5,4,4,4
28300,8,6,5,4,4,4
28400,8,6,5,4,4,4
28500,8,6,5,4,4,4
28600,9,6,5,4,4,4
28700,9,6,5,4,4,4
28800,9,6,5,4,4,4
28900,9,6,5,4,4,4
29000,9,6,5,4,4,4
29100,9,6,5,4,4,4
29200,9,6,5,4,4,4
29300,9,6,5,4,4,4
29400,9,6,5,4,4,4
29500,9,6,5,4,4,4
29600,9,6,5,4,4,4
29700,9,6,5,4,4,4
29800,9,6,5,5,4,4
29900,9,6,5,5,4,4
30000,9,6,5,5,4,4
30100,9,6,5,5,4,4
30200,9,6,5,5,4,4
30300,9,6,5,5,4,4
30400,9,6,5,5,4,4
30500,9,6,5,5,4,4
30600,9,6,5,5,4,4
30700,9,6,5,5,4,4
30800,9,6,5,5,4,4
30900,9,6,5,5,4,4
31000,9,6,5,5,4,4
31100,9,6,5,5,4,4
31200,9,6,5,5,4,4
31300,9,6,5,5,5,4
31400,9,6,5,5,5,4
31500,9,6,6,5,5,4
31600,10,6,6,5,5,4
31700,10,6,6,5,5,4
31800,10,6,6,5,5,4
31900,10,6,6,5,5,4
32000,10,7,6,5,5,4
32100,10,7,6,5,5,4
32200,10,7,6,5,5,4
32300,10,7,6,5,5,4
32400,10,7,6,5,5,4
32500,10,7,6,5,5,4
32600,10,7,6,5,5,4
32700,10,7,6,5,5,4
32800,10,7,6,5,5,4
32900,10,7,6,5,5,4
33000,10,7,6,5,5,4
33100,10,7,6,5,5,4
33200,10,7,6,5,5,4
33300,10,7,6,5,5,4
33400,10,7,6,5,5,4
33500,10,7,6,5,5,4
33600,10,7,6,5,5,4
33700,10,7,6,5,5,5
33800,10,7,6,5,5,5
33900,10,7,6,5,5,5
34000,10,7,6,5,5,5
34100,10,7,6,5,5,5
34200,10,7,6,5,5,5
34300,10,7,6,5,5,5
34400,10,7,6,5,5,5
34500,10,7,6,5,5,5
34600,11,7,6,5,5,5
34700,11,7,6,5,5,5
34800,11,7,6,5,5,5
34900,11,7,6,5,5,5
35000,11,7,6,5,5,5
35100,11,7,6,5,5,5
35200,11,7,6,5,5,5
35300,11,7,6,5,5,5
35400,11,7,6,5,5,5
35500,11,7,6,5,5,5
35600,11,7,6,5,5,5
35700,11,7,6,5,5,5
35800,11,7,6,5,5,5
35900,11,7,6,5,5,5
36000,11,7,6,6,6,5
36100,11,7,6,6,6,5
36200,11,7,6,6,6,5
36300,11,7,6,6,6,5
36400,11,7,6,6,6,5
36500,11,7,6,6,6,5
36600,11,7,6,6,6,5
36700,11,7,6,6,6,5
36800,11,7,6,6,6,5
36900,11,7,6,6,6,5
37000,11,7,6,6,6,5
37100,11,8,6,6,6,5
37200,11,8,7,6,6,5
37300,11,8,7,6,6,5
37400,12,8,7,6,6,5
37500,12,8,7,6,6,5
37600,12,8,7,6,6,5
37700,12,8,7,6,6,5
37800,12,8,7,6,6,5
37900,12,8,7,6,6,5
38000,12,8,7,6,6,5
38100,12,8,7,6,6,5
38200,12,8,7,6,6,5
38300,12,8,7,6,6,5
38400,12,8,7,6,6,5
38500,12,8,7,6,6,5
38600,12,8,7,6,6,5
38700,12,8,7,6,6,5
38800,12,8,7,6,6,5
38900,12,8,7,6,6,5
39000,12,8,7,6,6,5
39100,12,8,7,6,6,5
39200,12,8,7,6,6,5
39300,12,8,7,6,6,5
39400,12,8,7,6,6,5
39500,12,8,7,6,6,5
39600,12,8,7,6,6,5
39700,12,8,7,6,6,5
39800,12,8,7,6,6,5
39900,12,8,7,6,6,5
40000,12,8,7,6,6,5
40100,12,8,7,6,6,5
40200,12,8,7,6,6,5
40300,12,8,7,6,6,5
40400,12,8,7,6,6,5
40500,13,8,7,6,6,5
40600,13,8,7,6,6,6
40700,13,8,7,6,6,6
40800,13,8,7,6,6,6
40900,13,8,7,6,6,6
41000,13,8,7,6,6,6
41100,13,8,7,6,6,6
41200,13,8,7,6,6,6
41300,13,8,7,6,6,6
41400,13,8,7,7,6,6
41500,13,8,7,7,6,6
41600,13,8,7,7,6,6
41700,13,9,8,7,6,6
41800,13,9,8,7,6,6
41900,13,9,8,7,6,6
42000,13,9,8,7,6,6
42100,13,9,8,7,6,6
42200,13,9,8,7,6,6
42300,13,9,8,7,6,6
42400,13,9,8,7,7,6
42500,13,9,8,7,7,6
42600,13,9,8,7,7,6
42700,13,9,8,7,7,6
42800,13,9,8,7,7,6
42900,13,9,8,7,7,6
43000,13,9,8,8,7,6
43100,13,9,8,8,7,6
43200,13,9,8,8,7,6
43300,13,9,8,8,7,6
43400,14,9,8,8,7,6
43500,14,9,8,8,7,6
43600,14,9,8,8,7,6
43700,14,9,8,8,7,6
43800,14,9,8,8,7,6
43900,14,9,8,8,7,6
44000,14,9,9,8,7,6
44100,14,9,9,8,7,6
44200,14,9,9,8,7,6
44300,14,10,9,8,7,6
44400,14,10,9,8,7,6
44500,14,10,9,8,7,6
44600,14,10,9,8,7,6
44700,14,10,9,8,7,6
44800,14,10,9,8,7,6
44900,14,10,9,8,7,6
45000,14,10,9,8,7,6
45100,14,10,9,8,7,6
45200,14,10,9,8,7,6
45300,14,10,9,8,7,6
45400,14,10,9,8,7,6
45500,14,10,9,8,7,6
45600,14,10,9,8,7,6
45700,14,10,9,8,7,6
45800,14,10,9,8,7,6
45900,14,10,9,8,7,6
46000,14,10,9,8,7,6
46100,14,10,9,8,7,6
46200,14,10,9,8,7,6
46300,14,10,9,8,7,6
46400,15,10,9,8,7,6
46500,15,10,9,8,7,6
46600,15,10,9,8,7,6
46700,15,10,9,8,7,6
46800,15,10,9,8,7,6
46900,15,10,9,8,7,6
47000,15,10,9,8,7,6
47100,15,11,9,8,7,6
47200,15,11,9,8,7,7
47300,15,11,9,8,7,6
47400,15,11,9,8,7,6
47500,15,11,9,8,7,6
47600,15,11,10,8,7,7
47700,15,11,10,8,7,7
47800,15,11,10,8,7,7
47900,15,11,10,8,7,7
48000,15,11,10,8,7,7
48100,15,11,10,8,7,7
48200,15,11,10,8,7,7
48300,15,11,10,8,7,7
48400,15,11,10,8,7,7
48500,15,11,10,8,7,7
48600,15,11,10,8,8,7
48700,15,11,10,9,8,7
48800,15,11,10,9,8,7
48900,15,11,10,9,8,7
49000,15,11,10,9,8,7
49100,15,11,10,9,8,7
49200,15,11,10,9,8,7
49300,15,11,10,9,8,7
49400,16,11,10,9,8,7
49500,16,11,10,9,8,7
49600,16,11,10,9,8,7
49700,16,11,10,9,8,7
49800,16,11,10,9,8,7
49900,16,11,10,9,8,7
50000,16,11,10,9,8,7
50100,16,12,10,9,8,7
50200,16,12,10,9,8,7
50300,16,12,10,9,8,7
50400,16,12,10,9,8,7
50500,16,12,10,9,8,7
50600,16,12,10,9,8,7
50700,16,12,10,9,8,7
50800,16,12,10,9,8,7
50900,16,12,10,9,8,7
51000,16,12,10,9,8,7
51100,16,12,10,9,8,7
51200,16,12,10,9,8,7
51300,16,12,10,9,8,7
51400,16,12,10,9,8,7
51500,16,12,10,9,8,7
51600,16,12,10,9,8,7
51700,16,12,10,9,8,8
51800,16,12,10,9,8,8
51900,16,12,10,9,8,8
52000,16,12,10,9,8,8
52100,16,12,10,9,8,8
52200,16,12,10,9,8,8
52300,17,12,10,9,8,8
52400,17,12,10,9,8,8
52500,17,12,10,9,8,8
52600,17,12,10,9,8,8
52700,17,12,10,9,8,8
52800,17,12,10,9,8,8
52900,17,12,10,9,8,8
53000,17,12,11,9,8,8
53100,17,12,11,9,8,8
53200,17,12,11,9,8,8
53300,17,12,11,9,8,8
53400,17,12,11,9,8,8
53500,17,12,11,9,8,8
53600,17,12,11,9,8,8
53700,17,12,11,9,8,8
53800,17,12,11,9,8,8
53900,17,12,11,9,8,8
54000,17,12,11,9,8,8
54100,17,12,11,9,8,8
54200,17,12,11,9,8,8
54300,17,12,11,9,8,8
54400,17,12,11,10,8,8
54500,17,12,11,10,8,8
54600,17,12,11,10,8,8
54700,17,12,11,10,8,8
54800,17,12,11,10,9,9
54900,17,13,11,10,9,8
55000,17,13,11,10,9,9
55100,17,13,11,10,9,9
55200,17,13,11,10,9,9
55300,18,13,11,10,9,9
55400,18,13,11,10,9,9
55500,18,13,11,10,9,9
55600,18,13,11,10,9,9
55700,18,13,11,10,9,9
55800,18,13,11,10,9,9
55900,18,13,11,10,9,9
56000,18,13,11,10,9,9
56100,18,13,11,10,9,9
56200,18,13,11,10,9,9
56300,18,13,11,10,9,9
56400,18,13,11,10,9,9
56500,18,13,11,10,9,9
56600,18,13,11,10,9,9
56700,18,13,11,10,9,9
56800,18,14,11,10,9,9
56900,18,13,11,10,9,9
57000,18,13,11,10,9,9
57100,18,13,11,10,9,9
57200,18,13,11,10,9,9
57300,18,13,11,10,9,9
57400,18,13,11,10,9,9
57500,18,13,11,10,9,9
57600,18,13,11,10,9,9
57700,18,13,11,10,9,9
57800,18,13,11,10,9,9
57900,18,13,12,10,9,9
58000,19,13,11,10,9,9
58100,19,13,12,10,9,9
58200,19,13,12,10,9,9
58300,19,13,12,10,9,9
58400,19,13,12,10,9,9
58500,19,13,12,10,9,9
58600,19,13,12,10,9,9
58700,19,13,12,10,9,9
58800,19,13,12,10,9,9
58900,19,13,12,10,9,9
59000,19,13,12,10,9,9
59100,19,13,12,10,9,9
59200,19,13,12,10,9,9
59300,19,13,12,10,9,9
59400,19,13,12,10,9,9
59500,19,13,12,10,9,9
59600,19,14,12,10,9,9
59700,19,14,12,10,9,9
59800,19,14,12,10,9,9
59900,19,14,12,10,9,9
60000,19,14,12,10,9,9
60100,19,14,12,11,9,9
60200,19,14,12,11,9,9
60300,19,14,12,11,9,9
60400,19,14,12,11,9,9
60500,19,14,12,11,9,9
60600,19,14,12,11,9,9
60700,19,14,12,11,9,9
60800,20,14,12,11,9,9
60900,20,14,12,11,9,9
61000,20,14,12,11,9,9
61100,20,14,12,11,9,10
61200,20,14,12,11,10,9
61300,20,14,12,11,10,10
61400,20,14,12,11,10,10
61500,20,14,12,11,10,10
61600,20,14,12,11,10,10
61700,20,14,12,11,10,10
61800,20,14,12,11,10,10
61900,20,14,12,11,10,10
62000,20,14,12,11,10,10
62100,21,14,12,11,10,10
62200,20,14,12,11,10,10
62300,20,14,12,11,10,10
62400,20,14,12,11,10,10
62500,20,14,12,11,10,10
62600,20,14,12,11,10,10
62700,20,14,12,11,11,10
62800,20,14,12,11,11,10
62900,20,14,12,11,11,10
63000,20,14,12,11,11,10
63100,20,14,12,11,11,10
63200,20,14,12,11,11,10
63300,20,14,13,11,11,10
63400,20,14,13,11,11,10
63500,20,14,13,11,11,10
63600,20,14,13,11,11,10
63700,20,14,13,11,11,10
63800,21,14,13,11,11,10
63900,21,14,13,11,11,10
64000,21,14,13,11,11,10
64100,21,14,13,11,11,10
64200,21,14,13,11,11,10
64300,21,14,13,11,11,10
64400,21,15,13,11,11,10
64500,21,15,13,11,11,10
64600,21,15,13,11,11,10
64700,21,15,13,11,11,10
64800,21,15,13,11,11,10
64900,21,15,13,11,11,10
65000,21,15,13,11,11,10
65100,21,15,13,11,11,10
65200,21,15,13,11,11,10
65300,21,15,13,11,11,10
65400,21,15,13,11,11,10
65500,21,15,13,11,11,10
65600,21,15,13,11,11,10
65700,21,15,13,11,11,10
65800,21,15,13,11,11,10
65900,21,15,13,12,12,10
66000,21,15,13,12,12,10
66100,21,15,13,12,12,10
66200,21,15,13,12,12,10
66300,21,15,13,12,12,10
66400,21,15,13,12,12,10
66500,21,15,13,12,12,10
66600,21,15,13,12,12,10
66700,22,15,13,12,12,10
66800,22,15,13,12,12,10
66900,22,15,13,12,12,10
67000,22,15,13,12,12,10
67100,22,15,13,12,12,10
67200,22,15,13,12,12,10
67300,22,15,13,12,12,10
67400,22,15,13,12,12,11
67500,22,15,13,12,12,11
67600,22,15,13,12,12,11
67700,22,15,13,12,12,11
67800,22,15,13,12,12,11
67900,23,16,13,12,12,11
68000,22,15,13,12,12,11
68100,22,15,13,12,12,11
68200,22,15,13,12,12,11
68300,22,15,14,12,12,11
68400,22,15,13,12,12,11
68500,22,15,13,12,12,11
68600,22,15,14,12,12,11
68700,22,15,14,12,12,11
68800,22,15,14,12,12,11
68900,22,15,14,12,12,11
69000,22,15,14,12,12,11
69100,23,16,14,12,12,11
69200,23,16,14,12,12,11
69300,22,15,14,12,12,11
69400,23,16,14,12,12,11
69500,23,16,14,12,12,11
69600,23,16,14,12,12,11
69700,23,16,14,12,12,11
69800,23,16,14,12,12,11
69900,23,16,14,12,12,11
70000,23,16,14,12,12,11
70100,23,16,14,12,12,11
70200,23,16,14,13,12,11
70300,23,16,14,12,12,11
70400,23,16,14,12,12,11
70500,23,16,14,12,12,11
70600,23,16,14,12,12,11
70700,23,16,14,12,12,11
70800,24,16,14,12,12,11
70900,23,16,14,12,12,11
71000,23,16,14,12,12,11
71100,24,16,14,12,12,11
71200,23,16,14,12,12,11
71300,23,16,14,12,12,11
71400,23,16,14,12,12,11
71500,23,16,14,12,12,11
71600,23,16,14,13,13,11
71700,23,16,14,13,13,11
71800,23,16,14,13,13,11
71900,24,16,14,13,13,11
72000,24,16,14,13,13,11
72100,24,16,14,13,13,11
72200,24,16,14,13,13,11
72300,24,16,14,13,13,11
72400,24,16,14,13,13,11
72500,24,16,14,13,13,11
72600,24,16,14,13,13,11
72700,24,16,14,13,13,11
72800,24,16,14,13,13,11
72900,24,16,14,13,13,11
73000,24,16,14,13,13,11
73100,24,16,14,13,13,11
73200,24,16,14,13,13,11
73300,24,16,14,13,13,11
73400,24,16,14,13,13,12
73500,24,16,14,13,13,12
73600,24,16,14,13,13,12
73700,24,16,14,13,13,12
73800,24,17,14,13,13,12
73900,24,17,14,13,13,12
74000,24,16,15,13,13,12
74100,24,17,15,13,13,12
74200,24,17,15,13,13,12
74300,24,17,15,13,13,12
74400,24,17,15,13,13,12
74500,25,17,15,13,13,12
74600,25,17,15,13,13,12
74700,25,17,15,13,13,12
74800,25,17,15,13,13,12
74900,25,17,15,13,13,12
75000,25,17,18,13,13,12
75100,25,17,15,13,13,12
75200,25,17,15,13,13,12
75300,25,17,15,13,13,12
75400,25,17,15,13,13,12
75500,25,17,15,13,13,12
75600,25,17,15,13,13,12
75700,25,17,15,13,13,12
75800,25,17,15,13,13,12
75900,25,17,15,13,13,12
76000,25,17,15,13,13,12
76100,25,17,15,13,13,12
76200,25,17,15,13,13,12
76300,25,17,15,14,13,12
76400,25,17,15,13,13,12
76500,25,17,15,13,13,12
76600,25,17,15,13,13,12
76700,25,17,15,13,13,12
76800,25,17,15,13,13,12
76900,25,17,15,13,13,12
77000,25,17,15,13,13,12
77100,25,17,15,13,13,12
77200,25,17,15,14,14,12
77300,25,17,15,14,13,12
77400,26,17,15,13,13,12
77500,25,17,15,14,14,12
77600,25,17,15,14,14,12
77700,25,17,15,14,14,12
77800,26,17,15,14,14,12
77900,26,17,15,14,14,12
78000,26,17,15,14,14,12
78100,26,17,15,14,14,12
78200,26,18,15,14,14,12
78300,26,17,15,14,14,12
78400,26,17,15,14,14,12
78500,26,17,15,14,14,12
78600,26,18,15,14,14,12
78700,26,18,15,14,14,12
78800,26,18,15,14,14,12
78900,26,18,15,14,14,12
79000,26,18,15,14,14,12
79100,26,18,15,14,14,12
79200,26,18,15,14,14,12
79300,26,18,16,14,14,12
79400,26,18,16,14,14,12
79500,26,18,16,14,14,13
79600,26,18,16,14,14,13
79700,26,18,16,14,14,12
79800,26,18,16,14,14,12
79900,26,18,16,14,14,12
80000,26,18,16,14,14,13
80100,26,18,16,14,14,13
80200,26,18,16,14,14,13
80300,26,18,16,14,14,13
80400,26,18,16,14,14,13
80500,27,18,16,14,14,13
80600,26,18,16,14,14,13
80700,26,18,16,14,14,13
80800,26,18,16,14,14,13
80900,26,18,16,14,14,13
81000,27,18,16,14,14,13
81100,27,18,16,14,14,13
81200,27,18,16,14,14,13
81300,27,18,16,14,14,13
81400,27,18,16,14,14,13
81500,27,18,16,14,14,13
81600,27,18,16,14,14,13
81700,27,18,16,14,14,13
81800,27,18,16,14,14,13
81900,27,18,16,14,14,13
82000,27,18,16,14,14,13
82100,27,18,16,14,14,14
82200,27,18,16,14,14,13
82300,27,18,16,15,14,13
82400,27,18,16,15,14,13
82500,27,18,16,15,14,13
82600,27,18,16,15,14,13
82700,27,18,16,15,14,13
82800,27,18,16,15,14,13
82900,27,19,16,15,14,13
83000,27,19,17,15,14,13
83100,27,19,17,15,14,13
83200,27,19,17,15,15,13
83300,27,19,17,15,15,13
83400,27,19,17,15,15,13
83500,27,19,17,15,15,13
83600,27,19,17,15,15,13
83700,27,19,17,15,15,13
83800,28,19,17,15,15,13
83900,28,19,17,15,15,13
84000,28,19,17,16,15,13
84100,28,19,17,16,15,13
84200,28,19,17,16,15,13
84300,28,19,17,16,15,13
84400,28,19,17,16,15,13
84500,28,19,17,16,15,13
84600,28,19,17,16,15,13
84700,28,19,17,16,15,13
84800,28,19,17,16,15,13
84900,28,19,17,16,15,13
85000,28,19,17,16,15,13
85100,28,19,18,16,15,13
85200,28,19,18,16,15,13
85300,28,19,18,16,15,13
85400,28,20,18,16,15,13
85500,28,20,18,17,15,13
85600,28,20,18,17,15,14
85700,28,20,18,17,15,13
85800,28,20,18,17,15,13
85900,28,20,18,17,15,14
86000,28,20,18,17,15,14
86100,28,20,18,17,15,14
86200,28,20,18,17,15,14
86300,28,20,18,17,15,14
86400,29,20,18,17,15,14
86500,28,20,18,17,15,14
86600,29,20,18,17,15,14
86700,29,20,18,17,15,14
86800,29,20,18,17,15,14
86900,29,20,18,17,15,14
87000,29,20,18,17,15,14
87100,29,20,18,17,15,14
87200,29,21,19,17,15,14
87300,29,20,19,17,16,14
87400,29,20,19,17,15,14
87500,29,20,19,17,15,14
87600,29,20,19,17,15,14
87700,29,20,19,17,15,14
87800,29,21,19,17,16,14
87900,29,20,19,17,15,14
88000,29,21,19,17,15,14
88100,29,21,19,17,15,14
88200,29,21,19,17,16,14
88300,29,21,19,17,15,14
88400,29,21,19,17,15,14
88500,29,21,19,17,15,14
88600,29,21,19,17,15,14
88700,29,21,19,17,15,14
88800,29,21,19,17,16,14
88900,29,21,19,17,16,14
89000,29,21,19,17,16,14
89100,29,21,19,17,16,14
89200,29,21,19,17,16,14
89300,30,21,19,17,16,15
89400,30,21,19,17,16,15
89500,30,21,19,17,16,15
89600,30,21,20,17,16,15
89700,30,21,20,17,16,15
89800,30,21,20,17,16,15
89900,30,21,20,18,16,15
90000,30,21,20,18,16,15
90100,31,21,20,18,16,15
90200,30,21,20,18,16,15
90300,30,21,20,18,16,15
90400,30,22,20,18,16,15
90500,30,22,20,18,16,15
90600,30,22,20,18,16,15
90700,30,22,20,18,16,15
90800,30,22,20,18,16,15
90900,30,22,20,18,16,15
91000,30,22,20,18,16,15
91100,30,22,20,18,16,15
91200,30,22,20,18,16,15
91300,30,22,20,18,16,15
91400,30,22,20,18,16,15
91500,30,22,20,18,16,15
91600,30,22,20,18,16,15
91700,30,22,20,18,16,15
91800,30,22,20,18,16,15
91900,31,22,20,18,16,15
92000,30,22,20,18,16,15
92100,30,22,20,19,16,15
92200,31,22,20,18,16,15
92300,31,22,20,18,16,15
92400,31,22,20,18,16,15
92500,31,22,20,18,16,15
92600,31,22,20,18,16,15
92700,31,22,20,18,16,15
92800,31,23,20,18,16,15
92900,31,22,20,18,16,16
93000,31,23,20,18,16,15
93100,31,23,21,18,16,16
